X=47.011 Y=169.004 Z=81.896,X=0.315 Y=-0.205 Z=-0.929,X=0.719 Y=0.328
X=0.000 Y=169.004 Z=81.896,X=0.000 Y=-0.197 Z=-0.976,X=0.729 Y=0.200
X=0.000 Y=162.171 Z=85.806,X=0.000 Y=-0.748 Z=-0.669,X=0.753 Y=0.208
X=47.011 Y=162.171 Z=85.806,X=0.315 Y=-0.701 Z=-0.646,X=0.744 Y=0.336
X=-47.011 Y=162.171 Z=85.806,X=-0.315 Y=-0.701 Z=-0.646,X=-0.256 Y=0.336
X=0.000 Y=162.171 Z=85.806,X=0.000 Y=-0.748 Z=-0.669,X=-0.246 Y=0.208
X=-47.011 Y=169.004 Z=81.896,X=-0.315 Y=-0.205 Z=-0.929,X=-0.280 Y=0.328
X=0.000 Y=169.004 Z=81.896,X=0.000 Y=-0.197 Z=-0.976,X=-0.270 Y=0.200
X=37.395 Y=149.731 Z=90.199,X=-0.315 Y=-0.543 Z=-0.780,X=0.753 Y=0.208
X=42.407 Y=125.227 Z=107.380,X=0.291 Y=-0.772 Z=-0.559,X=0.719 Y=0.328
X=42.407 Y=149.742 Z=90.214,X=0.323 Y=-0.543 Z=-0.780,X=0.729 Y=0.200
X=37.395 Y=125.216 Z=107.364,X=-0.283 Y=-0.772 Z=-0.567,X=0.744 Y=0.336
X=37.395 Y=174.246 Z=73.033,X=-0.283 Y=-0.268 Z=-0.921,X=-0.256 Y=0.336
X=42.407 Y=149.742 Z=90.214,X=0.323 Y=-0.543 Z=-0.780,X=-0.270 Y=0.200
X=42.407 Y=174.257 Z=73.049,X=0.291 Y=-0.260 Z=-0.921,X=-0.280 Y=0.328
X=37.395 Y=149.731 Z=90.199,X=-0.315 Y=-0.543 Z=-0.780,X=-0.246 Y=0.208
X=-42.407 Y=149.742 Z=90.214,X=-0.323 Y=-0.543 Z=-0.780,X=0.729 Y=0.200
X=-42.407 Y=125.227 Z=107.380,X=-0.291 Y=-0.772 Z=-0.559,X=0.719 Y=0.328
X=-37.395 Y=149.731 Z=90.199,X=0.315 Y=-0.543 Z=-0.780,X=0.753 Y=0.208
X=-37.395 Y=125.216 Z=107.364,X=0.283 Y=-0.772 Z=-0.567,X=0.744 Y=0.336
X=-37.395 Y=174.246 Z=73.033,X=0.283 Y=-0.268 Z=-0.921,X=-0.256 Y=0.336
X=-42.407 Y=149.742 Z=90.214,X=-0.323 Y=-0.543 Z=-0.780,X=-0.270 Y=0.200
X=-37.395 Y=149.731 Z=90.199,X=0.315 Y=-0.543 Z=-0.780,X=-0.246 Y=0.208
X=-42.407 Y=174.257 Z=73.049,X=-0.291 Y=-0.260 Z=-0.921,X=-0.280 Y=0.328
X=0.000 Y=254.790 Z=145.428,X=0.000 Y=-0.638 Z=-0.772,X=0.101 Y=0.603
X=0.000 Y=234.927 Z=144.151,X=0.000 Y=0.764 Z=-0.646,X=0.110 Y=0.567
X=2.512 Y=254.479 Z=145.482,X=-0.228 Y=-0.598 Z=-0.772,X=0.106 Y=0.603
X=3.707 Y=235.603 Z=144.172,X=-0.228 Y=0.724 Z=-0.654,X=0.116 Y=0.570
X=9.187 Y=250.140 Z=145.196,X=-0.583 Y=-0.378 Z=-0.717,X=0.120 Y=0.598
X=10.733 Y=246.138 Z=144.830,X=-0.717 Y=-0.087 Z=-0.693,X=0.124 Y=0.592
X=10.815 Y=242.639 Z=144.541,X=-0.732 Y=0.205 Z=-0.646,X=0.125 Y=0.585
X=9.044 Y=238.727 Z=144.276,X=-0.575 Y=0.535 Z=-0.614,X=0.124 Y=0.578
X=0.000 Y=234.927 Z=144.151,X=0.000 Y=0.764 Z=-0.646,X=-0.890 Y=0.567
X=0.000 Y=254.790 Z=145.428,X=0.000 Y=-0.638 Z=-0.772,X=-0.898 Y=0.603
X=-2.512 Y=254.479 Z=145.482,X=0.228 Y=-0.598 Z=-0.772,X=-0.894 Y=0.603
X=-3.707 Y=235.603 Z=144.172,X=0.228 Y=0.724 Z=-0.654,X=-0.884 Y=0.570
X=-9.187 Y=250.140 Z=145.196,X=0.583 Y=-0.378 Z=-0.717,X=-0.880 Y=0.598
X=-10.733 Y=246.138 Z=144.830,X=0.717 Y=-0.087 Z=-0.693,X=-0.876 Y=0.592
X=-10.815 Y=242.639 Z=144.541,X=0.732 Y=0.205 Z=-0.646,X=-0.874 Y=0.585
X=-9.044 Y=238.727 Z=144.276,X=0.575 Y=0.535 Z=-0.614,X=-0.875 Y=0.578
X=-2.698 Y=199.590 Z=151.119,X=-0.496 Y=-0.378 Z=0.780,X=-0.927 Y=0.033
X=-0.000 Y=199.600 Z=151.211,X=0.000 Y=-0.457 Z=0.890,X=-0.934 Y=0.032
X=-0.000 Y=198.570 Z=148.221,X=0.000 Y=-0.969 Z=0.260,X=-0.934 Y=0.042
X=-3.722 Y=198.774 Z=147.991,X=-0.409 Y=-0.701 Z=0.583,X=-0.923 Y=0.041
X=0.000 Y=197.578 Z=144.091,X=0.000 Y=-0.976 Z=0.228,X=-0.931 Y=0.054
X=-3.722 Y=197.911 Z=144.060,X=-0.402 Y=-0.906 Z=-0.118,X=-0.920 Y=0.053
X=-5.838 Y=198.904 Z=147.575,X=-0.646 Y=-0.394 Z=0.661,X=-0.917 Y=0.040
X=-5.811 Y=197.997 Z=144.406,X=-0.638 Y=-0.693 Z=-0.346,X=-0.915 Y=0.049
X=-3.512 Y=197.433 Z=142.181,X=-0.402 Y=-0.795 Z=0.457,X=-0.920 Y=0.059
X=-0.000 Y=197.054 Z=141.991,X=0.000 Y=-0.969 Z=0.236,X=-0.931 Y=0.060
X=-0.000 Y=191.198 Z=117.701,X=0.000 Y=-0.976 Z=0.220,X=-0.933 Y=0.130
X=-0.000 Y=190.303 Z=113.110,X=0.000 Y=-0.835 Z=-0.551,X=-0.932 Y=0.144
X=-2.060 Y=190.347 Z=113.222,X=-0.528 Y=-0.709 Z=-0.472,X=-0.927 Y=0.142
X=-3.130 Y=191.381 Z=117.401,X=-0.543 Y=-0.827 Z=-0.150,X=-0.921 Y=0.132
X=-5.932 Y=191.874 Z=119.443,X=-0.717 Y=-0.669 Z=-0.189,X=-0.917 Y=0.125
X=-5.693 Y=197.515 Z=141.889,X=-0.614 Y=-0.402 Z=0.677,X=-0.913 Y=0.060
X=-5.630 Y=201.903 Z=140.603,X=-0.606 Y=0.693 Z=0.386,X=-0.896 Y=0.062
X=-3.512 Y=197.433 Z=142.181,X=-0.402 Y=-0.795 Z=0.457,X=-0.905 Y=0.055
X=-5.868 Y=196.655 Z=118.296,X=-0.709 Y=0.520 Z=-0.480,X=-0.901 Y=0.125
X=-3.470 Y=202.106 Z=140.809,X=-0.378 Y=0.929 Z=0.031,X=-0.890 Y=0.060
X=-3.097 Y=196.166 Z=116.274,X=-0.543 Y=0.669 Z=-0.504,X=-0.896 Y=0.132
X=-2.038 Y=195.191 Z=112.122,X=-0.528 Y=0.425 Z=-0.740,X=-0.894 Y=0.144
X=-2.060 Y=190.347 Z=113.222,X=-0.528 Y=-0.709 Z=-0.472,X=-0.907 Y=0.148
X=0.000 Y=195.179 Z=112.004,X=0.000 Y=0.504 Z=-0.866,X=-0.891 Y=0.147
X=-0.000 Y=190.303 Z=113.110,X=0.000 Y=-0.835 Z=-0.551,X=-0.904 Y=0.154
X=-0.000 Y=196.463 Z=116.458,X=0.000 Y=0.969 Z=-0.244,X=-0.886 Y=0.133
X=0.000 Y=202.345 Z=140.441,X=0.000 Y=0.969 Z=-0.236,X=-0.879 Y=0.062
